Puzzle,Difficulty
..7..985...2.1...4....83..1.......8.7.....2.92.9...14........32.1.6.......5...4.8,Intermediate
3.....7...8....9..9.5...2.6.9.28....72...96.863.........6..4.9.4..3........5....7,Easy
1........97.18...3.6...3....1.6.2........17....634.....34......6..2.8.3428...76..,Easy
.1..8.....691.2.5......5......92.7...9.5...1.....73...83......6..1.3..25...7....9,Easy
.8.....4.14...829339..54..1........7......43...3.1........9..8.5.....3..9...871.5,Expert
1...5.....3.....4......6.8.89..7.1.....3..4..6...1..9..8.........7...519.194....3,Expert
8.62.3....42......3.5.....1...6...15..7.......5..27.......4.....2...8..6.341.52.7,Intermediate
...7.8493...............72..736.....5.9...8.2..........972.35.8..5..9.....8.64.3.,Expert
..26..7....6.8..14.1..7.2..........8.....4...3.1..6...2.83.....6...1...7..429....,Intermediate
.65....874.7...2.138..........3...........1..85.1.4...2...3..5....678...7......6.,Easy
47...1..8......2.....856......9...47.57.8.6...9...28......7.1.5.......92..9...7..,Expert
...1.....4......8.2.79..........7..91.92.......68.....7...1.2....1....6.3..7.4.18,Expert
.78......1.9....2....6.....56..9.8....27..9.5.9.1..27..5...81..74..6...........54,Easy
.63...4.1..4.7......96.13........6.3.9.7...2...7.6.8..2...1........2379..........,Expert
.9..46..2.8...93.....2...7.9.....2......2.4.8.......6.7.48...2..26.3498....5.....,Expert
43.9..71..51.....9..7..58...7.38.....8.547.9....2......1..3.27...27.........9....,Intermediate
....1.....2.9.....14..8..7.68...1..957..6.42.2.......6....462..4...52.6....7.9...,Easy
......6.1...269...........82.....7..8..7...5..65.1..894..621...69..48..2....9....,Easy
75.1...4..43..7...1.95...7..9..317..5..2...14.....83..2..9.............5.1..4....,Expert
..1.328...5...9.3..3..6.71.....8.....27..5....6....18...67....85....3...9......7.,Easy
..15.8.2932..4...5....9.4.77.2..4....58..3.............9...27..........4814.....3,Intermediate
.83...4..4....3..22..15....3.582.7....8..6.4..1.3.....5.....26......5..3.6.......,Expert
7....439.....6.8........1....8..9...26...3.4.9....1..7.1.......832.........49...1,Easy
...16.....3.......6824........89.1.345.31.2........94...3......2....63...91.5...6,Easy
9..4..32..76.2...9....93......8.........39.87...641.9.....1.....2.....7..8.....46,Expert
.4.38....6..........9.1...8...4..28....16..........7.9.3....6.2..7..34..9.4..7.1.,Easy
.8...4.36.74.....96.38.9..7...6..3.8..9.8.......4...9....567......31..6...7....13,Expert
8.6....9..3...........8614..79.3..28..2...4..6....7....87..1.......2.67....4.3...,Easy
.2.6...85......36.73.........1.7....86.31.27...246...85.......7......81..1..2..53,Easy
..5.1..3.......4.83......522......939....428......8.....7.59......4...7..4..2.9..,Expert
5..8...........3...39.5..21..8..213.....1.69..2..7.....63.8.2..75.........1.9....,Expert
.....1.....7.5...4...9...26......4.2..43.56..1......596.37..2......2.9.1...543..7,Intermediate
841...7..6....4.....7...1...8...14.....4........598.6..3.67..9.7.6.3.5.4..9......,Expert
98..4..1.3......6..15...8.7..1....98..67.8.........5.....8......3.6.....5...9.4..,Expert
.9...1...265.9.8........4...5.8.....1.84.........15..87.62....9...7...2..2...865.,Easy
..1.5.9.2...9....4.8.71..........4....91..6..5....9..8....6158.....4..26...5.8...,Easy
..469....9...2.......4......3....48.7....9......1......2...6..834.8....1.8.31..67,Easy
237...........58...9.......47.8...25..8..4....2..96.........53.......6.2.543...9.,Expert
4..95.1.2....67......2.1.....26....9....3...4..7.9.6...6......7......2.5.93.4....,Expert
.928...6....3..7.8.8..6..45..5...87..4...........8....4..69...7..9.234..7...4.5.6,Simple
.8.......4..8.....5.2.........543..2.69..........2..8.1.6.8.......3..5......1249.,Easy
8....6.1...6......24..1...3......9.8....6.4.....5.8.219.1..3.5.5..2.......24..3..,Expert
15..........7....49.....2..7.9.3.....42.5.6...1..7....69...572........3.2..6.9.45,Expert
..7..9...3....5.6...2.1.....2.....3.......179.19....25.3..6.9.....52..83....7..5.,Expert
..3..9...8627.....5.7.2.........2.3.....682.13.6.1....7.5....2......7......6318..,Easy
.....7..5.......3.8.....4.6.6.8....3.3.....9792....85....7.8..2....29.6...965...4,Expert
....7.........85.....5..84...894...14....57..1....2.3...7.543..92........15.9..7.,Expert
.....3.7..4...85...7.2...432.46..39...5.....4....957......8..5.3...69.........8..,Easy
7284..9.......7..53.....8..5.6.......7....54..9..2..8.835..2..............4..37.9,Intermediate
.6.83..7.4..6.23...1.47...9.3.........81.....794....1.9...4.7..2.......8.8.....24,Intermediate
.1.87......9.....43......1.....64...8.23.....1.........86.3..9.9.3.8.7.1....29..6,Intermediate
..2...1...4..61....9.24..3.96..8.3.........5.........8.8.59.6.......4..2..46..8.1,Easy
.5..1.24.86..2......9.7....4...89..5...6...8...6.....7...8.........57.9...7..26..,Easy
..5..2.6.6...3...8..9.....35.......6..2....343685..19.21...4...........1.4....8..,Easy
.2....3..5.......8..6..1.5.......7..4.2.7.635.1..4.....7..24183...7........3..2.6,Expert
1....4.87...6.8......7.....63..4.1...9..2.34.82.1.36.......29..........1.7.....3.,Expert
1.......4..9.8.3...75..412......9.....1..7..9..314....9.4..5....2...3....8.29....,Intermediate
..4....78......2......86...7.....95...89....4..1..76......54...2..61........7..41,Easy
9...1...5..4....1261...48.97..........91.....86529............1..84..79.....7..6.,Expert
..7824....5.31.........6...3...674.11...4..8...4.5.6....3...72............8....53,Expert
2..41...55.42..31..6..8..7..716........1...2.4....35..3..7..4.......8.........1..,Easy
3.4.5.1..75.........8....4.5.16...3.96........37....1.4...1...8...34895.........1,Expert
......36.........569...5.7.2...94....6.1....3.7....14.9...234......4...7.3..1...6,Expert
....1..3.6.2......49....8....4..3..21.6..8...83...2......5....13...26.4..6....3.9,Easy
..795..8..6...3....8..7.....9.546..32.....7..3...8........6...9.5.4..3.......75..,Expert
64....57....4..9..9..5..83.....5....7.89..3...9.3.47..5362...............2.79....,Expert
..41.7...25........9..3..5..3...1.9.7.9......12.3....7..58...3.....725.88........,Easy
5..6...3..9..7..21.6..24.5.34...5.....1.....5....4.....24...719.........957......,Easy
2.3..9.71..1.2.....56........8.........7...1....5.86.....3.1..9....9....6....57.8,Intermediate
2...6.78.........1..19...64..2...3..4.6.2.....8..3..4....8.......71...2........78,Expert
..5..1..3....4.....91.765....4......56..9...83....4..1......83.47..........8.56..,Intermediate
..1..9..5..........4...5..1.84...1.9.....6.7....1..3....5....8.6.9.38.54.38.5.9.6,Expert
.9....3..1...4...2.....5..........7....7.3..4...4..598.1.....2.2..378.5.7.5.1...9,Easy
3..6..4...4978.36...8................9....87......46.2.3......9.....2.1.8.71..23.,Expert
...26....1....5.....2..3584..163.....8...2.7..6.4..3......8.7....4.7....8....4..6,Easy
2..1.....6.849.....7..........6.7..8.8....7.21..82..3...174.....342.....9.....3..,Intermediate
.....358..........7....62.4.65........41...3...18...7.123748...5..2......8.......,Intermediate
4......52.1..2......8.........51..4....4....3.....81.7..9.4..38....824.9..39.7...,Expert
..423....5...647....7...6..7...2...5..98...4..5.......2......83..69...2.89.......,Expert
3.9...28..5..2..79.76....3.4638........69......8.......4..7...6...4.6.......85...,Expert
.5.8...........5.4...3..67.......7.....176...83..4....18..6..2..7.483...5....1.67,Expert
.9...8.....6..3.977.35....8......4..5..82.6...2.96.............3.7.5..4........83,Expert
4.8..9....9....51..........1...8..4....7.......42.67918....26.77..4...5...26.1...,Easy
..43.1...3..9761...71.2.........76.....4.8..2.9..62..............2.....47.3...9.8,Simple
4...2..9..98.5..67.67...5....49...8............9.81.....6.4.8.......67.1145......,Expert
.....85......15.473....72.85..1....293..548..8...2.....1.............4.5....7..39,Expert
2..4.......8..7.1.6..258...4....61......2..5..2...38..8.5.34.....41.....7...8..6.,Easy
.2..9.8.4.....1....5.84..3......3...2...583...36..29....31.5..8......5...91......,Expert
.9..2..537.....8..........2..8......96...2.87.21...6.........75.13..9......68.31.,Easy
2.6....1.158...........3...........35192...87..29.8.617..1...3.9....2....8.....7.,Easy
....1.85.........4...423.7.....361...32........8...4.....8.7.....3...6.8.8..45..2,Easy
....4..61.....19.5...7...8.........8..4..95....938.......6.5..45...376....31.....,Intermediate
....1.....2.859.....8....7..3..8..5.47.3...9..15.......591......4.9.8..51...23.49,Easy
..32...717....4.......1.3.91.7....5.4....7.1..3...8...52.....3.........4..1....87,Expert
27....4..3..795....98.......2.5...8..8.67...2.49.2..56......3....6.....8...86...4,Easy
.4....6.115......4...2.....472..98........7.9.......1......2.5.69.4..27.5.16.74..,Easy
.39...7....7.9263.4..3...2..4.5713...5.........14..9.......4..6...6.9.17......4..,Easy
...5.1.48.....2.7....638.......86..4.........6..3..2......2..1..4..1...682...57.3,Easy
...3.2.......81..3...96.2.13.5..98.2.6....5...........8.3..6...5....4...492153...,Intermediate
.287.....7.139......3..2.1.4...8.9.........622...174..3.61.9...........689..7....,Intermediate
7.........49.71.5..12..9..........4......7.362...9.1....4.1....1....269....5.4..7,Intermediate
..7.5...8.1.....7.98...713.......5.2.........2..8...6..9..7.....5.9..3..3..2859..,Easy
.1..3.6.9.9...54......4.852.5...2....43.19........3...8.......36....4....2......4,Easy
9.4.6......59.13.....3...2..9.1.8.6...8.....93.....4..281....4...3.....14........,Expert
32..5.9..1.78.9.2.5..7......65.....2.9.........3..........6...76..1..2.5...2.8..9,Intermediate
...6....1.9.7...3.3....2.45...5....2..3....1..143..59...............7..66...1..5.,Easy
739.852..........38.17.....2..5...89..8..93.41.....5.2..7.......84......35....4..,Expert
.68...2...3.....51592.......2..5.9.8..5....7.9...........87...2657....9....9.5.3.,Easy
....1...3....26..558.....7.25..3..69..675..8.8....97...6.981...9..26.............,Expert
.4.....5....9......9..5.3.72.873..9.73....8....5...2..4.......5...26....8..39.6..,Intermediate
.......3.........4.9..3.528.218.7....47.9....5.8.1.79...49..3.5.723............1.,Expert
.2....4.....4.........985.....5.......9...1..78.13.95..4.3...7..58.142...1..2....,Easy
7.........6....85..5..2...9.95.1...6.829...........4..9......6..1.8.2..4..7549.1.,Easy
...2.....9.4..5....2539.....6..2...9..1......3..16........5731......3.74..9.....5,Easy
.....2..589.1..2...53.4..6.6..5...32.......4.3.8.6.1...8.691......3..6.........9.,Easy
.5...........8...7.....1..5...1.9.8...9748..1......4...12..5.4.4...3...27.3..45.9,Easy
.8.......429....6...........7...68...6...92.3...13...6...7.2..97...4.13...1.8..4.,Expert
...4.1.......7..6.7...2.....47.8..5.....6.1...5.1.4.........3..3.65..78...46.851.,Easy
92..........8.6.....3...4...4..9.........2.5...5.......582.4..9..6..538.3...6.1..,Intermediate
9.........8...7.43.....15...7.............38.......9..1.9..2.5..48.3.29...758.1..,Simple
1..2.3..436.59..7...91.......1............2.3.9..6..1..........6..4..521.5....946,Intermediate
......3.8...1.....4.1.3.6..7.83...5..35.9.7.4.9..8....5....4.979...7.53.......4..,Expert
..7..2.5..5...3..826...51...3.1....9..97...86.7..9.........97.3....6..9.......5.2,Intermediate
.65....4.....74.8..8.2....6.3.......7........2.49..36.643.....29......7...2.8..9.,Easy
.....3.86..4.7..9....6.4......3....54.18......6...7.4.8.9..6......1....3.1..95...,Expert
....6.......3..8...........6...7..2...1.285...356...7.19....2..3..8...16.82.5...9,Simple
...49.6..84..512......3.9.5..8.13..65....2....9.......314......9......3..2....8..,Easy
......2...9.8.....3....79..81.376.9.6..9823.......1....4..9..239..6.874..6...3...,Intermediate
.......2..9......767...53...4.7...5.3....84..9.75.3..85243.9.............39..4...,Easy
4..7.1.3....2....912..9.4...6.913...........5.....7.6..1...9..3.3....21......46..,Intermediate
2...7.48.8..29..5.3.....9...........7..5.2.3....83..6.5.....34..37..9.2.68......5,Intermediate
6.......1......9.5.79.6.....9.....2....2..1...86.53..9......8....1.376.29......53,Easy
.7....1.53..25....6.1.3.........62.4.4.......2.....5.......8...5..6...7218....6..,Expert
.7...14.6..............213.........4..3427...2.1..3.8....7..891..9..6..7....8.2..,Intermediate
...97.......8.5...21...3..5.......8152.....4......93.....3.2..4....4...74...1.293,Intermediate
.8....7..1..7....8....25......5.6.......82....641.....6..91.45..7.4..8.95.....1..,Expert
...8.1....649....3..5.43...6...3..7..4.6.........17.698.......1.17.5......3.....5,Intermediate
...4..........8..9......67....7...9.2.8........42.37.83.69.48.7..2.....3.1.3.2...,Expert
.9..3.7...4....9..6.27.....5.4.........6..3...............892.7.893.54..23...6..8,Easy
..456.1.96..2.....19..3..5.7.1...5.2.2....963...........3.......6.......2..31...7,Intermediate
.8.......3.6....98..1...37.....8.....9.1..4......27...8.9.6...4..489........72..6,Intermediate
...6.9......47......3.....753..8...69....4.5...45.6.3...2..798..9.8.......7..546.,Expert
9.7..3..6.4.......3.1...............4..6..283.6.7.9....84.91..71......2....4...6.,Intermediate
6.....1..1..7...85.9.....27.6..51.9.......2...8....45.....9......4..7819..1...7..,Easy
.31..6...8.....1....5..2..7.....3..1...597.2.....28.65.96..1..2....7....27......3,Easy
9....562..3.....8...273...9.....915.8.3.....6.1....2........7..2.1.98....5..7...1,Easy
8.......9.49......3....6.....5....7..239.....9..6....84.7..85....23.4.67...5...3.,Expert
..1..2......368...86..7..2..1.5.....3..421.........3..53....8...2..47..5...8....7,Expert
...7..13.8...61....1...9...4...28..........6....67..8...24...7....3..9....9.1.2.4,Easy
4.617...9..5....6.81.4....3............8....5..7.4583.574.8..91......7..........8,Expert
.8........5....47.........9.729..8.5..46....28....791.....7........25..6.9...1.2.,Easy
........7.........5..13......5..6.41.6..273..93.5..2..2..6.9.1...4...623......7.4,Easy
72..9.........81.486...25..6.......5......2.6....8..4...6..47.......5.192.....65.,Easy
3..9.....4.........5.7.3....9.4..25.51.3...7..7.....16.....9......2.6.4.7...4.52.,Expert
.87....3.4.......8..3...64....3.87.63..6.9..17...5.............9.5...1...16...59.,Easy
....4..............63.8....4..2..86....39..5..21...9.3...82...4..4..9...9.8.613..,Easy
2.63...9...3..5.........6.8.6.5......74...9..8......24.5...74.2..9........7..43..,Expert
.4..1..8...2..74.5.6...2.1....2.....1....594....96..5..9.......7.4......68514....,Expert
3...1.5...927.5.....7..6.8.6..2..9....1.6..7...9..7..3..........2.....91...8..6.5,Expert
..5...3.7.9.......23.9..51........2..56..89.39...7.6.5........1.8.62..3..2.1..8..,Expert
..63.81.5.....7.6...75.2..87.4...386.1.8...2...5..6....3.4....1..............5...,Intermediate
...6.12..........321......5.4........28..........38.....459..2..6.4..8...953...41,Intermediate
..4.8953......49.7...5...186....3..55..74.8..3..8....9...........5..83.1...951..4,Expert
3........78...9.6.....54........59...6..8...5.73....8..2.......63..9.87...9..2...,Expert
...47...2..1.2.6.9..35...........91....2....4.4....7..7.63.4.5.2...6..73.........,Easy
.6..2.3..1.......9.......124..6....1......97..197.32....3.....827.4...6...43.6...,Easy
6...3791.4..19.........2..41.2..4.7...67.3....945.............7...6..4.5.....1.6.,Expert
......67....2....89.5....2............637.295......7.3.68...1..2.9.3.8..35.6.1...,Easy
163....5.5.2.6....4.73..29....9..4..6.......2.......1....62..7......53..3...1.529,Easy
.9.....5..4.........753........8..6...8.4.7..6..3.95..53.8....7.8.47.9.....9..2..,Expert
.4......65......14..9.268.33.....1..6..1....5.....8.2..1...........326....3...4..,Easy
3......9.......25.9....5.4..7...6..3...9.2....493.7.8..85.2...4...6...2...2...86.,Expert
9...2..34.12.9......7..4..6.68......1..3....7.3..69......4...........7.8.91.82...,Easy
..4..285...3.9....9..5.1....9.....6..61..4.823.2..8..............6.192....923...5,Expert
......196.8.....3..9..2.4..........512...36...5.8.9.4..3.......5..49..1.2........,Easy
.423.......142........16.9..6.....293......7.........6.....1....1.94.5.22...5.76.,Easy
8.95....4...34.68...3.62.91.3..1....1.4.2.....5.....2..9.13.....8.......2........,Easy
8571...........1..6....378......1...2.8...53..3..8.2.73..........4.52....854.7.6.,Expert
....3.97.9..4....64.6......7..8....3364.1...9..1.......7....56.615.73..........37,Expert
624.758.3.75.8.2..8...........5......8..3...7.31.47......16.....62.......5.8.3...,Easy
..9...4.2.....23......4..5.54...6.....192...52.8....1.....9...46...5..83...6..1..,Easy
7...1...........26....973.8..9...57..6...5.31.....2..98..6.1..7.2..39.6........8.,Easy
..6....4.9....71.6..5.4...22..1.3..........5.1.7.5.9.......54.7...6..3...9....5..,Expert
51.......4.25..16...3.........3...5.1.7...4.6.4..9.7.....4..213.....6...3....5.49,Easy
...3..45.73..9...26...14.......6.....5.4792...4.5....3.7..4.....2..5.14....1.....,Easy
.....5..9..5.391......1.......9.....73.....5..69..7..2.7..6..38..2..857..5.......,Expert
...3....87...5.2..8...72..5....63....4..8..13...2.46.....8......8.7...4..51.2.3..,Intermediate
...4..6.......7...6958..4.......5..1...1.39..48.........76.....1.6...54994..1....,Expert
.9......8..8...26......73..1.7..9..663....7...2..1....3.9..............18..3..5.2,Easy
1...9...7..3..7....26..........3..6..72...3.....87.....8..14.9....98....6..2..1..,Easy
.3..9..2..81....5.2.5.....4......5...2814..6..6.8.2..1.94...1..6........8.3.6..4.,Easy
..9.1.36...3.7..9........219....6...4289.7.....6.....4.4.1..23....3.4.......6...8,Intermediate
.1.....4..4....9.67.....82..84279..16.1......27.8...5..6...5....2....7.5.....1...,Easy
6...9.1..1.92......7...6.4.5.7.4.....2...1..5...6.......3579...9.....3......132.4,Easy
..75.1.3.5.1..6.2...9.8.....8............37..9.6..2.5......95.....3..2..75....16.,Intermediate
..5.6.1..1..7......831.2...86.2.....7.....28......8.5..3.6..87......4......3714..,Easy
3..4..........9.....5..8.4.45.6.193.7...9.....91.8...6..9..6.7....5...9...7...1.4,Easy
........237..1..4....745...2.61....3....526.9.9..................769..1...153.9..,Expert
.6...82.9..8.76...2...5.....87....1.4...65.....2..............759...2..48.4..9...,Intermediate
8......2.4...3...8.13.6..............356.7.1.7.1...43..8.7..1.517..5......62.....,Expert
2.46..........9...7.....45.385...69.....3..74.........9.2..3.8.56.79.....48......,Intermediate
.....3.267.9..........74..34..7......8.3..2...9.....3.3.81..4.7.......19.1..4..6.,Easy
........5...2...6.....912.88..9......2.8..9.17......2.18.3....7...62...3....75...,Intermediate
968.....74.1.........6..89.54..7...68..14.9.....59.4..1.......5.7.......3...57.1.,Expert
.....2135..21........935.7..6......9..385..6.1.93..7..5...1.297.2...8............,Easy
.6.5..2..8....14..2..........7......15.3...6..431.......1.4...7.......85.8...631.,Expert
.7319.5.....52.........3....8...7....2.35..........9..9.........1.7.4..324.8....1,Easy
...9....6.61..2.5.....8...........79...8.9....3.54......86...1.1......977...2..4.,Easy
...7439...............89.15.4.....57..9..72.8....3.......2..7...954.........7...4,Easy
.4...1..685....3...3.5......1.3.6.7...7...........2....6...4.1.48..23.6.....5.82.,Easy
..7..2....21....4..6.....1.9...76..2.1...87.....4...81.4.......8.63.....7.9...6.4,Easy
.2..8..31..9.657.2.........753....8......7....8...2.6.5...36....9.72...6.6.......,Easy
862....4.3.9...6........5.....9..4.....2..3.14.563..2...3.2..9.5.8........1..42.5,Intermediate
.......6.....9...47.....8.2.9.4....65....1...4.....758..461.2...1.8.7.....5....87,Intermediate
..3......16...2....79..8.32.85...6.9..72...........3....29.61.35.............125.,Intermediate
85..2........1.7....3.........2.84......65.182....7..5.7....5..512.4...64......3.,Easy
.......4.4.....87.1..57..2...9..5...7..41.......7.9...6.....4.2.7.1..6..8512...9.,Intermediate
298....3.1..32.....7....1.......5.9......3.14..47...............824....1.4..9758.,Intermediate
.....31......9.........1..3.5.9..7......54..9..2..7..84.91.2.5..8.3....4.158..2..,Easy
9.3..4..........3.6..73..49...3...7..64.......951........9..18.1....57..5..87...4,Intermediate
.6....3..4....9..7.......597..4.159...39...8...468.7...9...5.46......1.5..13.....,Easy
.........8..74..9...7...2....1.8...93.8.25.7..9.3.4....12...7..97...25.1.........,Expert
..89.5.7....7...28..9.....32......1.8...2..6............12...853....9....7568...9,Easy
.3.6..8....78.5.............8.3..7.....7495.3...2..6..8.69.7.2.3......5.2.4.6....,Easy
......8..1..6.......7.8..9....4795....9..276.....1....2.5......41..9.....7..25.1.,Easy
6..27..1....93..8....8...6.7......5..1..5.67...3...8..95.6.8....3.51.....7.......,Intermediate
1.....9...73.4..6.....7...39.6..2.........7.8...4..........612.....1..3.2.4......,Easy
..64..........7863.1..8....4...........5.42...6......1.2.3...4.7..8....238..657..,Intermediate
....7.6.......3..9......278........16...39....81..23.......6..3..9..5.2....298.65,Easy
..1......2.8....9.4....6.8..59.6281....5....476.....29....9.......1...6.81...5.4.,Expert
.....8.......4..9.....3.1..7...826..2..7...19.6.39....63..2.9.4.84.......7..1...3,Expert
..4..5...32.8.....5...6...1....1.......3...2......69..4..9..5.6........39.36.14.8,Expert
.9..1.65........4..287.....219.8.....6.27.....5...1..49...6....1..82.9.6.4.5.....,Easy
.73......296...3..1....7..6...12..4....6.823.8...731..41..6......7.1....329......,Easy
..3...48..5....1...84..1....7.4.....3..9..5..2.5........13..7........215...7.9.3.,Intermediate
8.6.7........8.4.33..9..........92.....2..76.9..53.8..........6...62..54..5..43..,Easy
.....6.85.87.4........5..4..69.....31.3..84.9....6......4.......98......6...7.91.,Intermediate
....756....7.9.14.6..1..3...4......93....2.......51..34......7...1.4.......3.79..,Expert
.....672....8....3.635.2..4.7.29.4.8......562.5....3......28..74...........4.39..,Expert
3....4..82......1.....5.234....3.48.6.1...5..93.......5....9....1..4...2....139..,Expert
.7.5.4.3..289........28.75.........7.4.....23.9..4.1..9...2..4.1...39..5...8....2,Simple
..91....2..89....51.....9.65...6.4..39...56.....4.....6.182.5...........42..5....,Easy
.........5.3..8.6969.5.3.7.7.8...2.............2.9....4..8....3.86..97...7..429.6,Easy
1.9..43.....2.8...4....1...7....91......7....3......2...692...8.7...64.........39,Easy
..............39.8......7.1..91..4...719...82.6..78.9....6..2..4...2..139..8...4.,Expert
.9.......7..68....6.5739...5.........8..6.93.3......648.....1...6.84.....17..6..9,Expert
12.........7............1974.951....2..9.85.....32...8975.3........4.8....4.....6,Easy
...9.256....46.........5...5.8..1.4...4.9.6...9..4...5.27..8....5..2.9........15.,Easy
..819..4...42.87..9...5...816....8...2........8.....9......2..1.....6.2..1.....74,Expert
.2...5.6.186.........4......3.....565.4...9...6....28..9862.4.....3......5...8.2.,Expert
.26..3....1..56......9....85..49........3..9......2.814..8..1......61........9.6.,Easy
.9....67......5...1.....8..8...4.1...6.2.9..7.471....6.....74.5..49.......6.2.9.1,Easy
.6.....3...8..7...1..3.987.4........7..8....4.16.......7..9.2.8.8..261....21.8.93,Expert
..8.3...7...21..3..3.....9.58..7....27.349..5.1.5.2..375......2.9....1...........,Intermediate
..5..2..96.4..9....7....4.841...........9...5..9...2165..........6874..1.8....7..,Intermediate
...798..3....2.5...4..53..8.1.27..3978...5...2................7......28...8.3.195,Expert
8..5...6.....69......8.2..55..1.8.2.2..7.5..31.....5.9....71....9....67......3..8,Easy
8.....1.6..2.51.3...5.....9......36262...5.8.........77..3.6....5...279.....8....,Easy
...56..381.5.8.......27.9....7.1....2.......3.18...79.78.......5.1.....9.....3..2,Expert
7.29..8..3...........7.5...8.65193...37..6....5......2.9...........2.17.......2.8,Easy
17.......49.7.386..3.8....4.....94.38..3.6..13.....68.6..4..1.......2.......7..2.,Intermediate
........6.......5..13....4....4...127..63.5....5.....7..2.73..447.9.1.3..965.....,Easy
4..2...1.....98..2..9.1.......8.1.......5612...3.......98.4.3..5..9....6.46..2.95,Expert
...68.......5..........92......3.6...2387.5..6.72.53..7.6....2....34...8.487.2...,Easy
5..83....7.2....1..841....2......6.7478...2..6...1..5..5........317.........8.7..,Easy
.7...9.14..9.8.7.......4..6..4...2...5.8....1....126..........5..1....726.84.....,Easy
......2....76...53..3.2.1.44.27..31.....92..66...3.54...4.....1..6.4....5.1......,Intermediate
....9..2.6..4........5....396....54...3....6.4.5......79....2.....9.4..8.58..37..,Easy
5.....163.23...........1.......96.27........9.....3....61.7.98.9....2..67.5....32,Easy
.3...2.8......8.37..73..126..2.........5...6.6...8.....8..35.....4..75.22.146.8..,Simple
..9.386........85..7......2.3.5...2.5..7..1...81..9.7.69...5......8.3......2.....,Easy
1.2...8...89..2.313....1....5....4868.........4....2.3.....4..2..8.9..5..96.3..4.,Expert
.43.78.......1...75..3.2...1......529..1....3.5..4..7....8...........41..9...7..8,Expert
2...8......871..4....4.6......1...2...........1..98564..5..42.6.8.965.....48..9..,Intermediate
..1.8.5...3.5.1...............135....5.7.6.481......7.78.3...6...62......4....8.2,Intermediate
987..6..55....3.....1.2.7.......5.2.1.27..8.6....685..2.....9..3......7...8...6..,Easy
..5.8...37..4...9..24.........92..45.....62.9.8.....3.2........6.7...3....8.5...2,Expert
.8...43.....2.7....5...14..43..7.9...9.8....7...51..4.849...52............7.2....,Expert
....596.331....5.8.....3.4..6.2.....12......4........19..8.2...4.......5..86..4..,Intermediate
